"","file","date","name","pistil","anth1","anth2","anth3","anth4","anth5","D1","D2"
"1","IMG_6995.JPG",2018-06-27,"34-H1",4.25,4.13,4.12,3.82,3.84,3.46,2.35,1.82
"2","IMG_6996.JPG",2018-06-27,"34-R6",4.14,3.98,4.04,3.75,3.79,3.41,2.24,1.87
"3","IMG_6997.JPG",2018-06-27,"34-R3",4.24,4.14,4.15,3.85,3.87,3.53,2.39,1.8
"4","IMG_6998.JPG",2018-06-27,"34-E3",4.28,4.2,4.21,3.95,3.94,3.6,2.38,1.93
"5","IMG_6999.JPG",2018-06-27,"34-E3",4.2,4.12,4.16,3.94,3.86,3.52,2.4,1.9
"6","IMG_7000.JPG",2018-06-27,"34-R1",4.23,4.08,4.12,3.84,3.86,3.5,2.32,1.82
"7","IMG_7001.JPG",2018-06-27,"34-R4",4.42,4.25,4.29,4.01,4.01,3.7,2.48,1.98
"8","IMG_7005.JPG",2018-06-28,"34-A1",4.17,4.1,4.06,3.81,3.8,3.45,2.37,1.86
"9","IMG_7006.JPG",2018-06-28,"34-A1",4.21,4.1,4.11,3.84,3.82,3.51,2.36,1.89
"10","IMG_7007.JPG",2018-06-28,"34-R5",4.21,4.03,4.05,3.77,3.75,3.39,2.33,1.83
"11","IMG_7008.JPG",2018-06-28,"34-E1",4.22,4.09,4.14,3.81,3.84,3.48,2.35,1.89
"12","IMG_7009.JPG",2018-06-28,"34-E1",4.23,4.12,4.15,3.86,3.82,3.56,2.36,1.97
"13","IMG_7010.JPG",2018-06-28,"34-R2",4.28,4.12,4.14,3.87,3.85,3.55,2.39,1.89
"14","IMG_7011.JPG",2018-06-28,"34-A2",4.11,4.01,4.04,3.72,3.71,3.35,2.38,1.84
"15","IMG_7012.JPG",2018-06-28,"34-E2",4.18,4.06,4.07,3.79,3.84,3.48,2.37,1.83
"16","IMG_7013.JPG",2018-06-28,"34-R7",4.24,4.13,4.11,3.88,3.84,3.53,2.41,1.86
"17","IMG_7018.JPG",2018-06-29,"34-R5",4.23,4.19,4.16,3.94,3.92,3.56,2.4,1.96
"18","IMG_7019.JPG",2018-06-29,"34-R5",4.24,4.11,4.18,3.88,3.86,3.61,2.33,1.96
"19","IMG_7020.JPG",2018-06-29,"34-R6",4.22,4.13,4.12,3.84,3.8,3.46,2.32,1.81
"20","IMG_7021.JPG",2018-06-29,"34-R6",4.1,3.96,3.97,3.75,3.73,3.4,2.26,1.79
"21","IMG_7022.JPG",2018-06-29,"34-E3",4.3,4.17,4.2,3.88,3.9,3.55,2.46,1.83
"22","IMG_7023.JPG",2018-06-29,"34-E3",4.3,4.18,4.23,3.92,3.92,3.63,2.45,1.69
"23","IMG_7024.JPG",2018-06-29,"34-H3",4.29,4.16,4.19,3.86,3.85,3.44,2.35,1.95
"24","IMG_7025.JPG",2018-06-29,"34-H3",4.06,4,4.02,3.71,3.69,3.4,2.2,1.81
"25","IMG_7026.JPG",2018-06-29,"34-R1",4.14,4.05,4.06,3.75,3.75,3.42,2.31,1.66
"26","IMG_7027.JPG",2018-06-29,"34-R1",4.19,4.09,4.08,3.84,3.81,3.52,2.31,1.9
"27","IMG_7028.JPG",2018-06-29,"34-R7",4.24,4.16,4.17,3.86,3.83,3.51,2.41,1.92
"28","IMG_7029.JPG",2018-06-29,"34-R4",4.05,3.92,3.94,3.68,3.7,3.3,2.18,1.81
"29","IMG_7030.JPG",2018-06-29,"34-H1",4.14,4,4.08,3.78,3.77,3.45,2.32,1.8
"30","IMG_7031.JPG",2018-06-29,"34-R3",4.15,4.01,4.04,3.69,3.72,3.3,2.28,1.89
